10:59	Sevilla (BoBBY)	1 - 1 (0 - 1)	Real Madrid (kiser)	channel 4
11:14	Atletico Madrid (ForceMajor!)	2 - 1 (2 - 1)	Barcelona (Сool_J)	channel 3
11:14	Real Madrid (kiser)	0 - 1 (0 - 0)	Valencia (Walker)	channel 4
11:28	Sevilla (BoBBY)	0 - 1 (0 - 0)	Barcelona (Сool_J)	channel 3
11:28	Real Madrid (kiser)	3 - 0 (2 - 0)	Atletico Madrid (ForceMajor!)	channel 4
11:43	Barcelona (Сool_J)	0 - 3 (0 - 2)	Real Madrid (kiser)	channel 3
11:43	Sevilla (BoBBY)	1 - 3 (0 - 1)	Valencia (Walker)	channel 4
11:58	Barcelona (Сool_J)	1 - 1 (1 - 0)	Valencia (Walker)	channel 3
11:58	Sevilla (BoBBY)	1 - 2 (1 - 2)	Atletico Madrid (ForceMajor!)	channel 4
12:12	Valencia (Walker)	3 - 0 (1 - 0)	Atletico Madrid (ForceMajor!)	channel 3
12:12	Real Madrid (kiser)	3 - 1 (2 - 0)	Sevilla (BoBBY)	channel 4
12:27	Barcelona (Сool_J)	4 - 2 (2 - 1)	Atletico Madrid (ForceMajor!)	channel 3
12:27	Valencia (Walker)	1 - 0 (0 - 0)	Real Madrid (kiser)	channel 4
12:42	Barcelona (Сool_J)	2 - 2 (0 - 1)	Sevilla (BoBBY)	channel 3
12:42	Atletico Madrid (ForceMajor!)	0 - 2 (0 - 1)	Real Madrid (kiser)	channel 4
	Cyber Europa League 13:00 - 15:30			
Time	Player (Blue)	Match results	Player (Red)	Video
13:00	Celtic (Sima)	0 - 2 (0 - 1)	Gent (CarlWhizzer)	channel 1
13:00	Shakhtar Donetsk (YOSHI)	3 - 2 (2 - 0)	Basaksehir (Dimqaa)	channel 2
13:14	Shakhtar Donetsk (YOSHI)	2 - 3 (1 - 0)	Gent (CarlWhizzer)	channel 1
13:14	Sporting (praym)	1 - 2 (1 - 1)	Basaksehir (Dimqaa)	channel 2
13:29	Sporting (praym)	3 - 0 (2 - 0)	Shakhtar Donetsk (YOSHI)	channel 1
13:29	Basaksehir (Dimqaa)	0 - 3 (0 - 2)	Celtic (Sima)	channel 2
13:44	Sporting (praym)	2 - 2 (1 - 1)	Gent (CarlWhizzer)	channel 1
13:44	Celtic (Sima)	2 - 1 (0 - 1)	Shakhtar Donetsk (YOSHI)	channel 2
13:58	Basaksehir (Dimqaa)	2 - 3 (0 - 2)	Gent (CarlWhizzer)	channel 1
13:58	Celtic (Sima)	0 - 1 (0 - 1)	Sporting (praym)	channel 2
14:13	Gent (CarlWhizzer)	0 - 0 (0 - 0)	Celtic (Sima)	channel 1
14:13	Basaksehir (Dimqaa)	3 - 3 (1 - 1)	Shakhtar Donetsk (YOSHI)	channel 2
14:28	Gent (CarlWhizzer)	3 - 1 (1 - 1)	Shakhtar Donetsk (YOSHI)	channel 1
14:28	Basaksehir (Dimqaa)	1 - 2 (1 - 2)	Sporting (praym)	channel 2
14:42	Shakhtar Donetsk (YOSHI)	2 - 4 (1 - 1)	Sporting (praym)	channel 1
14:42	Celtic (Sima)	3 - 0 (2 - 0)	Basaksehir (Dimqaa)	channel 2
14:57	Gent (CarlWhizzer)	1 - 0 (0 - 0)	Sporting (praym)	channel 1
14:57	Shakhtar Donetsk (YOSHI)	1 - 0 (1 - 0)	Celtic (Sima)	channel 2
15:12	Gent (CarlWhizzer)	5 - 1 (2 - 0)	Basaksehir (Dimqaa)	channel 1
15:12	Sporting (praym)	2 - 0 (0 - 0)	Celtic (Sima)	channel 2
	Cyber Europa League 13:00 - 15:30			
Time	Player (Blue)	Match results	Player (Red)	Video
13:00	Inter (kiser)	2 - 5 (1 - 2)	Manchester United (Сool_J)	channel 3
13:00	Sevilla (Walker)	4 - 0 (1 - 0)	Bayer 04 (BoBBY)	channel 4
13:14	Sevilla (Walker)	5 - 1 (2 - 0)	Manchester United (Сool_J)	channel 3
13:14	Lazio (ForceMajor!)	3 - 0 (0 - 0)	Bayer 04 (BoBBY)	channel 4
13:29	Lazio (ForceMajor!)	1 - 2 (1 - 2)	Sevilla (Walker)	channel 3
13:29	Bayer 04 (BoBBY)	1 - 2 (1 - 1)	Inter (kiser)	channel 4
13:44	Lazio (ForceMajor!)	2 - 2 (1 - 1)	Manchester United (Сool_J)	channel 3
13:44	Inter (kiser)	1 - 3 (1 - 1)	Sevilla (Walker)	channel 4
13:58	Bayer 04 (BoBBY)	2 - 1 (1 - 0)	Manchester United (Сool_J)	channel 3
13:58	Inter (kiser)	2 - 2 (1 - 1)	Lazio (ForceMajor!)	channel 4
14:13	Manchester United (Сool_J)	0 - 1 (0 - 0)	Inter (kiser)	channel 3
14:13	Bayer 04 (BoBBY)	1 - 2 (1 - 0)	Sevilla (Walker)	channel 4
14:28	Manchester United (Сool_J)	0 - 3 (0 - 1)	Sevilla (Walker)	channel 3
14:28	Bayer 04 (BoBBY)	4 - 1 (0 - 1)	Lazio (ForceMajor!)	channel 4
14:42	Sevilla (Walker)	5 - 1 (2 - 1)	Lazio (ForceMajor!)	channel 3
14:42	Inter (kiser)	1 - 3 (1 - 1)	Bayer 04 (BoBBY)	channel 4
14:57	Manchester United (Сool_J)	1 - 3 (1 - 2)	Lazio (ForceMajor!)	channel 3
14:57	Sevilla (Walker)	0 - 1 (0 - 1)	Inter (kiser)	channel 4
15:12	Manchester United (Сool_J)	0 - 1 (0 - 0)	Bayer 04 (BoBBY)	channel 3
15:12	Lazio (ForceMajor!)	3 - 2 (2 - 1)	Inter (kiser)	channel 4
	France Cyber Stars League 15:30 - 18:00			
Time	Player (Blue)	Match results	Player (Red)	Video
15:30	Bourdeux (YOSHI)	0 - 1 (0 - 1)	Stade Rennais (Sima)	channel 1
15:30	Saint-Etienne (Zazabak)	3 - 2 (0 - 2)	Montpellier (SpursMax)	channel 2
15:44	Saint-Etienne (Zazabak)	0 - 1 (0 - 1)	Stade Rennais (Sima)	channel 1
15:44	Nice (Walker)	1 - 0 (1 - 0)	Montpellier (SpursMax)	channel 2
15:59	Nice (Walker)	2 - 1 (1 - 0)	Saint-Etienne (Zazabak)	channel 1
15:59	Montpellier (SpursMax)	2 - 1 (0 - 1)	Bourdeux (YOSHI)	channel 2
16:14	Nice (Walker)	0 - 0 (0 - 0)	Stade Rennais (Sima)	channel 1
16:14	Bourdeux (YOSHI)	5 - 1 (3 - 0)	Saint-Etienne (Zazabak)	channel 2
16:28	Montpellier (SpursMax)	0 - 2 (0 - 2)	Stade Rennais (Sima)	channel 1
16:28	Bourdeux (YOSHI)	1 - 3 (1 - 1)	Nice (Walker)	channel 2
16:43	Stade Rennais (Sima)	2 - 1 (1 - 1)	Bourdeux (YOSHI)	channel 1
16:43	Montpellier (SpursMax)	0 - 2 (0 - 1)	Saint-Etienne (Zazabak)	channel 2
16:58	Stade Rennais (Sima)	1 - 1 (0 - 0)	Saint-Etienne (Zazabak)	channel 1
16:58	Montpellier (SpursMax)	3 - 1 (2 - 0)	Nice (Walker)	channel 2
17:12	Saint-Etienne (Zazabak)	1 - 1 (0 - 1)	Nice (Walker)	channel 1
17:12	Bourdeux (YOSHI)	1 - 2 (1 - 0)	Montpellier (SpursMax)	channel 2
17:27	Stade Rennais (Sima)	0 - 1 (0 - 1)	Nice (Walker)	channel 1
17:27	Saint-Etienne (Zazabak)	0 - 2 (0 - 1)	Bourdeux (YOSHI)	channel 2
17:42	Stade Rennais (Sima)	2 - 1 (1 - 0)	Montpellier (SpursMax)	channel 1
17:42	Nice (Walker)	3 - 0 (2 - 0)	Bourdeux (YOSHI)	channel 2
	France Cyber Stars League 15:30 - 18:00			
Time	Player (Blue)	Match results	Player (Red)	Video
15:30	Lille (Kishe)	0 - 3 (0 - 1)	Monaco (BoBBY)	channel 3
15:30	Lyon (skmgery)	1 - 0 (0 - 0)	Marseille (Corvin)	channel 4
15:44	Lyon (skmgery)	2 - 0 (0 - 0)	Monaco (BoBBY)	channel 3
15:44	PSG (Jenko)	1 - 2 (1 - 0)	Marseille (Corvin)	channel 4
15:59	PSG (Jenko)	2 - 2 (1 - 1)	Lyon (skmgery)	channel 3
15:59	Marseille (Corvin)	2 - 0 (1 - 0)	Lille (Kishe)	channel 4
16:14	PSG (Jenko)	5 - 2 (2 - 0)	Monaco (BoBBY)	channel 3
16:14	Lille (Kishe)	1 - 3 (0 - 1)	Lyon (skmgery)	channel 4
16:28	Marseille (Corvin)	5 - 1 (3 - 1)	Monaco (BoBBY)	channel 3
16:28	Lille (Kishe)	4 - 2 (2 - 0)	PSG (Jenko)	channel 4
16:43	Monaco (BoBBY)	3 - 1 (1 - 1)	Lille (Kishe)	channel 3
16:43	Marseille (Corvin)	3 - 1 (1 - 0)	Lyon (skmgery)	channel 4
16:58	Monaco (BoBBY)	2 - 1 (0 - 1)	Lyon (skmgery)	channel 3
16:58	Marseille (Corvin)	2 - 3 (0 - 1)	PSG (Jenko)	channel 4
17:12	Lyon (skmgery)	2 - 5 (1 - 4)	PSG (Jenko)	channel 3
17:12	Lille (Kishe)	1 - 3 (1 - 2)	Marseille (Corvin)	channel 4
17:27	Monaco (BoBBY)	2 - 2 (0 - 1)	PSG (Jenko)	channel 3
17:27	Lyon (skmgery)	3 - 5 (2 - 3)	Lille (Kishe)	channel 4
17:42	Monaco (BoBBY)	0 - 1 (0 - 0)	Marseille (Corvin)	channel 3
17:42	PSG (Jenko)	0 - 2 (0 - 2)	Lille (Kishe)	channel 4
	Cyber World Cup 18:00 - 20:30			
Time	Player (Blue)	Match results	Player (Red)	Video
18:00	Argentina (YOSHI)	0 - 2 (0 - 1)	Portugal (Sima)	channel 1
18:00	Italy (Zazabak)	0 - 3 (0 - 0)	England (SpursMax)	channel 2
18:14	Italy (Zazabak)	1 - 2 (1 - 0)	Portugal (Sima)	channel 1
18:14	Netherlands (Walker)	5 - 0 (2 - 0)	England (SpursMax)	channel 2
18:29	Netherlands (Walker)	2 - 1 (1 - 1)	Italy (Zazabak)	channel 1
18:29	England (SpursMax)	1 - 1 (0 - 1)	Argentina (YOSHI)	channel 2
18:44	Netherlands (Walker)	2 - 1 (1 - 0)	Portugal (Sima)	channel 1
18:44	Argentina (YOSHI)	0 - 0 (0 - 0)	Italy (Zazabak)	channel 2
18:58	England (SpursMax)	2 - 3 (0 - 3)	Portugal (Sima)	channel 1
18:58	Argentina (YOSHI)	2 - 2 (1 - 0)	Netherlands (Walker)	channel 2
19:13	Portugal (Sima)	0 - 3 (0 - 0)	Argentina (YOSHI)	channel 1
19:13	England (SpursMax)	2 - 1 (1 - 1)	Italy (Zazabak)	channel 2
19:28	Portugal (Sima)	1 - 0 (0 - 0)	Italy (Zazabak)	channel 1
19:28	England (SpursMax)	0 - 3 (0 - 1)	Netherlands (Walker)	channel 2
19:42	Italy (Zazabak)	3 - 1 (1 - 0)	Netherlands (Walker)	channel 1
19:42	Argentina (YOSHI)	1 - 1 (1 - 0)	England (SpursMax)	channel 2
19:57	Portugal (Sima)	0 - 0 (0 - 0)	Netherlands (Walker)	channel 1
19:57	Italy (Zazabak)	1 - 1 (1 - 0)	Argentina (YOSHI)	channel 2
20:12	Portugal (Sima)	1 - 2 (1 - 0)	England (SpursMax)	channel 1
20:12	Netherlands (Walker)	5 - 2 (2 - 2)	Argentina (YOSHI)	channel 2
	Cyber World Cup 18:00 - 20:30			
Time	Player (Blue)	Match results	Player (Red)	Video
18:00	Belgium (Kishe)	2 - 0 (1 - 0)	Brazil (BoBBY)	channel 3
18:00	Spain (skmgery)	0 - 2 (0 - 0)	Germany (Corvin)	channel 4
18:14	Spain (skmgery)	3 - 1 (1 - 1)	Brazil (BoBBY)	channel 3
18:14	France (Jenko)	2 - 2 (2 - 1)	Germany (Corvin)	channel 4
18:29	France (Jenko)	2 - 2 (1 - 1)	Spain (skmgery)	channel 3
18:29	Germany (Corvin)	5 - 1 (1 - 1)	Belgium (Kishe)	channel 4
18:44	France (Jenko)	3 - 1 (3 - 1)	Brazil (BoBBY)	channel 3
18:44	Belgium (Kishe)	0 - 4 (0 - 3)	Spain (skmgery)	channel 4
18:58	Germany (Corvin)	3 - 1 (1 - 1)	Brazil (BoBBY)	channel 3
18:58	Belgium (Kishe)	1 - 1 (0 - 0)	France (Jenko)	channel 4
19:13	Brazil (BoBBY)	2 - 2 (2 - 2)	Belgium (Kishe)	channel 3
19:13	Germany (Corvin)	3 - 1 (1 - 0)	Spain (skmgery)	channel 4
19:28	Brazil (BoBBY)	2 - 1 (1 - 0)	Spain (skmgery)	channel 3
19:28	Germany (Corvin)	1 - 2 (0 - 0)	France (Jenko)	channel 4
